day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
1,危ない,あぶない,BERBAHAYA,この道 みちは車 くるまが多 おおくて、あぶないです。,JALAN INI BANYAK MOBIL SEHINGGA BERBAHAYA。,あぶないから、道路 どうろを走 はしらないでください。,"KARENA BERBAHAYA, JANGAN BERLARI DI JALAN。"
1,明るい,あかるい,TERANG; CERIA,この部屋 へやはとてもあかるいです。,KAMAR INI SANGAT TERANG。,彼女 かのじょはあかるい性格 せいかくです。,DIA MEMPUNYAI KEPRIBADIAN YANG CERIA。
1,飽きっぽい,あきっぽい,MUDAH BOSAN,私 わたしはあきっぽい性格 せいかくです。,SAYA MEMPUNYAI SIFAT MUDAH BOSAN。,彼 かれは新 あたらしい趣味 しゅみを始 はじめても、すぐあきっぽくなります。,"MESKIPUN MEMULAI HOBI BARU, DIA CEPAT MERASA BOSAN。"
1,青白い,あおじろい,PUCAT KEBIRU-BIRUAN,彼 かれの顔 かおはあおじろいです。,WAJAHNYA PUCAT KEBIRU-BIRUAN。,病気 びょうきで、顔 かおがあおじろくなりました。,"KARENA SAKIT, WAJAHNYA MENJADI PUCAT。"
1,荒い,あらい,KASAR; DERAS; KERAS,この川 かわは流 ながれがあらいです。,ARUS SUNGAI INI DERAS。,彼 かれはあらい運転 うんてんをします。,DIA MENGEMUDI DENGAN KASAR/AGRESIF。
1,ありがたい,ありがたい,BERTERIMA KASIH; PATUT DISYUKURI,手伝 てつだってくれて、ありがたいです。,SAYA SANGAT BERTERIMA KASIH KARENA KAMU MEMBANTU SAYA。,家族 かぞくが元気 げんきでいることはありがたいことです。,KELUARGA DALAM KEADAAN SEHAT ADALAH SESUATU YANG PATUT DISYUKURI。
1,浅い,あさい,DANGKAL,この川 かわはあさいです。,SUNGAI INI DANGKAL。,このプールはあさいので、子供 こどもでも安心 あんしんです。,"KARENA KOLAM INI DANGKAL, ANAK-ANAK PUN AMAN。"
1,温かい,あたたかい,"HANGAT (MAKANAN, MINUMAN, PERASAAN)",あたたかいお茶 ちゃを飲 のみます。,SAYA MINUM TEH HANGAT。,先生 せんせいのあたたかい言葉 ことばに感動 かんどうしました。,SAYA TERHARU DENGAN KATA-KATA HANGAT DARI GURU。
1,暖かい,あたたかい,HANGAT (UDARA/CUACA),今日 きょうは暖 あたたかいです。,HARI INI HANGAT。,春 はるになると、暖 あたたかくなります。,"KETIKA MUSIM SEMI TIBA, CUACA MENJADI HANGAT。"
1,熱い,あつい,PANAS (BENDA/MINUMAN),このスープは熱 あついです。,SUP INI PANAS。,熱 あついお茶 ちゃを飲 のんで、舌 したをやけどしました。,SAYA MINUM TEH PANAS DAN LIDAH SAYA TERBAKAR。
1,暑い,あつい,PANAS (CUACA),今日 きょうはとても暑 あついです。,HARI INI SANGAT PANAS。,夏 なつは暑 あついので、水 みずをたくさん飲 のみます。,"KARENA MUSIM PANAS PANAS, SAYA MINUM BANYAK AIR。"
