grup,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
Tubuh,髪の毛,かみのけ,RAMBUT,入浴後、利用者の髪の毛を乾かします。,"Setelah mandi, keringkan rambut pengguna layanan.",清潔を保つため、髪の毛を整えます。,"Untuk menjaga kebersihan, rapikan rambut pengguna layanan."
Tubuh,首,くび,LEHER,利用者の首に異常がないか確認します。,Periksa apakah ada kelainan pada leher pengguna layanan.,清潔を保つため、利用者の首をきれいにします。,"Untuk menjaga kebersihan, bersihkan leher pengguna layanan."
Tubuh,わきの下,わきのした,KETIAK,利用者のわきの下に異常がないか確認します。,Periksa apakah ada kelainan pada ketiak pengguna layanan.,清潔を保つため、利用者のわきの下をきれいにします。,"Untuk menjaga kebersihan, bersihkan ketiak pengguna layanan."
Tubuh,腕,うで,LENGAN,利用者の腕に異常がないか確認します。,Periksa apakah ada kelainan pada lengan pengguna layanan.,清潔を保つため、利用者の腕をきれいにします。,"Untuk menjaga kebersihan, bersihkan lengan pengguna layanan."
Tubuh,肘,ひじ,SIKU,利用者の肘に異常がないか確認します。,Periksa apakah ada kelainan pada siku pengguna layanan.,清潔を保つため、利用者の肘をきれいにします。,"Untuk menjaga kebersihan, bersihkan siku pengguna layanan."
Tubuh,臍,へそ,PUSAR,利用者の臍に異常がないか確認します。,Periksa apakah ada kelainan pada pusar pengguna layanan.,清潔を保つため、利用者の臍をきれいにします。,"Untuk menjaga kebersihan, bersihkan pusar pengguna layanan."
Tubuh,腰,こし,PINGGANG,利用者の腰に異常がないか確認します。,Periksa apakah ada kelainan pada pinggang pengguna layanan.,清潔を保つため、利用者の腰をきれいにします。,"Untuk menjaga kebersihan, bersihkan pinggang pengguna layanan."
Tubuh,背中,せなか,PUNGGUNG,利用者の背中に異常がないか確認します。,Periksa apakah ada kelainan pada punggung pengguna layanan.,清潔を保つため、利用者の背中をきれいにします。,"Untuk menjaga kebersihan, bersihkan punggung pengguna layanan."
Tubuh,頭,あたま,KEPALA,利用者の頭に異常がないか確認します。,Periksa apakah ada kelainan pada kepala pengguna layanan.,清潔を保つため、利用者の頭をきれいにします。,"Untuk menjaga kebersihan, bersihkan kepala pengguna layanan."
Tubuh,肩,かた,BAHU,利用者の肩に異常がないか確認します。,Periksa apakah ada kelainan pada bahu pengguna layanan.,清潔を保つため、利用者の肩をきれいにします。,"Untuk menjaga kebersihan, bersihkan bahu pengguna layanan."
Tubuh,胸,むね,DADA,利用者の胸に異常がないか確認します。,Periksa apakah ada kelainan pada dada pengguna layanan.,清潔を保つため、利用者の胸をきれいにします。,"Untuk menjaga kebersihan, bersihkan dada pengguna layanan."
Tubuh,腹,はら,PERUT,利用者の腹に異常がないか確認します。,Periksa apakah ada kelainan pada perut pengguna layanan.,清潔を保つため、利用者の腹をきれいにします。,"Untuk menjaga kebersihan, bersihkan perut pengguna layanan."
Tubuh,殿部（尻）,でんぶ（しり）,PANTAT,利用者の殿部（尻）に異常がないか確認します。,Periksa apakah ada kelainan pada pantat pengguna layanan.,清潔を保つため、利用者の殿部（尻）をきれいにします。,"Untuk menjaga kebersihan, bersihkan pantat pengguna layanan."
Kepala,額,ひたい,DAHI,利用者の額に異常がないか確認します。,Periksa apakah ada kelainan pada dahi pengguna layanan.,清潔を保つため、利用者の額をきれいにします。,"Untuk menjaga kebersihan, bersihkan dahi pengguna layanan."
Kepala,まゆ毛,まゆげ,ALIS,利用者のまゆ毛に異常がないか確認します。,Periksa apakah ada kelainan pada alis pengguna layanan.,清潔を保つため、利用者のまゆ毛をきれいにします。,"Untuk menjaga kebersihan, bersihkan alis pengguna layanan."
Kepala,まつ毛,まつげ,BULU MATA,利用者のまつ毛に異常がないか確認します。,Periksa apakah ada kelainan pada bulu mata pengguna layanan.,清潔を保つため、利用者のまつ毛をきれいにします。,"Untuk menjaga kebersihan, bersihkan bulu mata pengguna layanan."
Kepala,鼻,はな,HIDUNG,利用者の鼻に異常がないか確認します。,Periksa apakah ada kelainan pada hidung pengguna layanan.,清潔を保つため、利用者の鼻をきれいにします。,"Untuk menjaga kebersihan, bersihkan hidung pengguna layanan."
Kepala,口,くち,MULUT,食後に利用者の口の中を確認します。,"Setelah makan, periksa bagian dalam mulut pengguna layanan.",口腔ケアのあと、口の周りをきれいに拭きます。,"Setelah perawatan mulut, bersihkan area sekitar mulut."
Kepala,歯,は,GIGI,毎食後、利用者の歯を磨く介助をします。,"Setelah setiap makan, bantu pengguna layanan menyikat gigi.",歯に食べ物が残っていないか確認します。,Periksa apakah masih ada makanan yang tersisa di gigi.
Kepala,顎,あご,DAGU,利用者の顎に異常がないか確認します。,Periksa apakah ada kelainan pada dagu pengguna layanan.,清潔を保つため、利用者の顎をきれいにします。,"Untuk menjaga kebersihan, bersihkan dagu pengguna layanan."
Kepala,顔,かお,WAJAH/MUKA,利用者の顔に異常がないか確認します。,Periksa apakah ada kelainan pada wajah/muka pengguna layanan.,清潔を保つため、利用者の顔をきれいにします。,"Untuk menjaga kebersihan, bersihkan wajah/muka pengguna layanan."
Kepala,目,め,MATA,利用者の目に異常がないか確認します。,Periksa apakah ada kelainan pada mata pengguna layanan.,目が疲れている様子なら、少し休んでもらいます。,"Jika mata terlihat lelah, minta pengguna layanan beristirahat sebentar."
Kepala,耳,みみ,TELINGA,利用者の耳に異常がないか確認します。,Periksa apakah ada kelainan pada telinga pengguna layanan.,耳の周りをやさしく清拭します。,Bersihkan area sekitar telinga dengan lembut.
Kepala,頬,ほほ,PIPI,利用者の頬に異常がないか確認します。,Periksa apakah ada kelainan pada pipi pengguna layanan.,清潔を保つため、利用者の頬をきれいにします。,"Untuk menjaga kebersihan, bersihkan pipi pengguna layanan."
Kepala,唇,くちびる,BIBIR,利用者の唇に異常がないか確認します。,Periksa apakah ada kelainan pada bibir pengguna layanan.,清潔を保つため、利用者の唇をきれいにします。,"Untuk menjaga kebersihan, bersihkan bibir pengguna layanan."
Kepala,喉,のど,TENGGOROKAN,水を飲んだあと、喉に違和感がないか確認します。,"Setelah minum air, periksa apakah ada rasa tidak nyaman di tenggorokan.",利用者が喉の痛みを訴えたので、看護師に報告します。,"Karena pengguna layanan mengeluhkan sakit tenggorokan, laporkan kepada perawat."
Bagian Tangan,手,て,TANGAN,利用者の手を清潔に洗います。,Cuci tangan pengguna layanan sampai bersih.,食事の前に手を消毒します。,"Sebelum makan, bantu pengguna layanan membersihkan tangan."
Bagian Tangan,手の甲,てのこう,PUNGGUNG TANGAN,利用者の手の甲に異常がないか確認します。,Periksa apakah ada kelainan pada punggung tangan pengguna layanan.,清潔を保つため、利用者の手の甲をきれいにします。,"Untuk menjaga kebersihan, bersihkan punggung tangan pengguna layanan."
Bagian Tangan,手のひら,てのひら,TELAPAK TANGAN,利用者の手のひらに異常がないか確認します。,Periksa apakah ada kelainan pada telapak tangan pengguna layanan.,清潔を保つため、利用者の手のひらをきれいにします。,"Untuk menjaga kebersihan, bersihkan telapak tangan pengguna layanan."
Bagian Tangan,手首,てくび,PERGELANGAN TANGAN,利用者の手首に異常がないか確認します。,Periksa apakah ada kelainan pada pergelangan tangan pengguna layanan.,清潔を保つため、利用者の手首をきれいにします。,"Untuk menjaga kebersihan, bersihkan pergelangan tangan pengguna layanan."
Bagian Tangan,指,ゆび,JARI,利用者の指に異常がないか確認します。,Periksa apakah ada kelainan pada jari pengguna layanan.,清潔を保つため、利用者の指をきれいにします。,"Untuk menjaga kebersihan, bersihkan jari pengguna layanan."
Bagian Tangan,指先,ゆびさき,UJUNG JARI,指先に傷がないか確認します。,Periksa apakah ada luka pada ujung jari.,細かい作業をするときは、指先に注意します。,"Saat melakukan pekerjaan kecil, perhatikan ujung jari."
