day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,
1,曖昧[あいまい],あいまい,"ambigu, rancu",彼[かれ]の答[こた]えは曖昧[あいまい]でした。,JAWABANNYA TIDAK JELAS.,曖昧[あいまい]な返事[へんじ]をしないでください。,JANGAN MEMBERIKAN JAWABAN YANG TIDAK JELAS.,
1,明[あき]らか,あきらか,"jelas, nyata",彼[かれ]が嘘[うそ]をついていることは明[あき]らかです。,JELAS BAHWA DIA SEDANG BERBOHONG.,原因[げんいん]はまだ明[あき]らかになっていません。,PENYEBABNYA MASIH BELUM JELAS.,
1,安易[あんい],あんい,"mudah, sederhana, praktis",安易[あんい]に人[ひと]を信[しん]じてはいけません。,JANGAN TERLALU MUDAH MEMERCAYAI ORANG.,安易[あんい]な考[かんが]えで決[き]めないほうがいいです。,SEBAIKNYA JANGAN MEMUTUSKAN SESUATU DENGAN PEMIKIRAN YANG SEMBARANGAN.,
1,新[あら]た,あらた,"baru, segar",新[あら]たな目標[もくひょう]を決[き]めました。,SAYA TELAH MENETAPKAN TUJUAN BARU.,新[あら]たな問題[もんだい]が発生[はっせい]しました。,MASALAH BARU TELAH MUNCUL.,
1,哀[あわ]れ,あわれ,sengsara,彼[かれ]の姿[すがた]はとても哀[あわ]れでした。,KEADAANNYA SANGAT MENYEDIHKAN.,一人[ひとり]で暮[く]らしている老人[ろうじん]を哀[あわ]れに思[おも]いました。,SAYA MERASA KASIHAN KEPADA ORANG TUA YANG HIDUP SENDIRIAN.,
1,馬鹿[ばか],ばか,bodoh,そんな馬鹿[ばか]なことを言[い]わないでください。,JANGAN MENGATAKAN HAL BODOH SEPERTI ITU.,自分[じぶん]を馬鹿[ばか]だと思[おも]わないでください。,JANGAN MENGANGGAP DIRI ANDA BODOH.,
1,貧乏[びんぼう],びんぼう,miskin,私[わたし]は学生[がくせい]の頃[ころ]、とても貧乏[びんぼう]でした。,"KETIKA MASIH MENJADI SISWA, SAYA SANGAT MISKIN.",貧乏[びんぼう]でも幸[しあわ]せに暮[く]らすことはできます。,"MESKIPUN MISKIN, KITA BISA HIDUP BAHAGIA.",
1,不気味[ぶきみ] / 無気味[ぶきみ],ぶきみ / むきみ,"aneh, membahayakan, mengerikan",この人形[にんぎょう]は少[すこ]し不気味[ぶきみ]です。,BONEKA INI AGAK MENYERAMKAN.,夜[よる]の森[もり]は不気味[ぶきみ]な雰囲気[ふんいき]でした。,HUTAN PADA MALAM HARI MEMILIKI SUASANA YANG MENCEKAM.,
1,不器用[ぶきよう],ぶきよう,"kikuk, tidak terampil",私[わたし]は料理[りょうり]が不器用[ぶきよう]です。,SAYA TIDAK TERAMPIL DALAM MEMASAK.,彼[かれ]は手先[てさき]が不器用[ぶきよう]です。,DIA TIDAK TERAMPIL MENGGUNAKAN TANGANNYA.,
1,無礼[ぶれい],ぶれい,"tak sopan, kasar",そんな無礼[ぶれい]な言[い]い方[かた]をしないでください。,JANGAN BERBICARA DENGAN CARA YANG TIDAK SOPAN SEPERTI ITU.,店員[てんいん]に無礼[ぶれい]な態度[たいど]を取[と]ってはいけません。,JANGAN BERSIKAP TIDAK SOPAN KEPADA PEGAWAI TOKO.,
