day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,Data bahasa indonesia
1,会う,あう,BERTEMU,明日、友達に会います。,BESOK SAYA BERTEMU TEMAN.,駅で先生に会いました。,SAYA BERTEMU GURU DI STASIUN.,bertemu
1,合う,あう,"COCOK, PAS",この靴は私の足に合います。,SEPATU INI PAS DENGAN KAKI SAYA.,二人の考えはよく合います。,PEMIKIRAN KEDUANYA SANGAT COCOK.,"cocok, pas"
1,開く,あく,TERBUKA,店は九時に開きます。,TOKO BUKA PUKUL SEMBILAN.,ドアが開きました。,PINTUNYA TERBUKA.,terbuka
1,空く,あく,KOSONG,この席は空いています。,KURSI INI KOSONG.,午後は電車が少し空きます。,SIANG HARI KERETA SEDIKIT LEBIH SEPI.,kosong
1,開ける,あける,MEMBUKA,窓を開けてください。,TOLONG BUKA JENDELA.,朝、カーテンを開けました。,PAGI TADI SAYA MEMBUKA TIRAI.,membuka
1,上がる,あがる,NAIK,階段を上がります。,SAYA NAIK TANGGA.,値段が上がりました。,HARGANYA NAIK.,naik
1,あげる,あげる,MEMBERI,妹にプレゼントをあげました。,SAYA MEMBERI HADIAH KEPADA ADIK PEREMPUAN.,友達に本をあげます。,SAYA AKAN MEMBERI BUKU KEPADA TEMAN.,memberi
1,遊ぶ,あそぶ,BERMAIN,公園で子どもと遊びます。,SAYA BERMAIN DENGAN ANAK DI TAMAN.,休みの日に友達と遊びました。,SAYA BERMAIN DENGAN TEMAN PADA HARI LIBUR.,bermain
1,浴びる,あびる,MANDI,朝、シャワーを浴びます。,PAGI HARI SAYA MANDI SHOWER.,運動のあとでシャワーを浴びました。,SETELAH BEROLAHRAGA SAYA MANDI SHOWER.,mandi
1,洗う,あらう,MENCUCI,毎晩、顔を洗います。,SETIAP MALAM SAYA MENCUCI WAJAH.,食事の前に手を洗ってください。,TOLONG CUCI TANGAN SEBELUM MAKAN.,mencuci
1,ある,ある,"ADA, MEMILIKI",机の上に本があります。,ADA BUKU DI ATAS MEJA.,駅の近くに銀行があります。,ADA BANK DI DEKAT STASIUN.,"ada, memiliki"
