day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
1,愛情,あいじょう,PERASAAN CINTA,子供にはたっぷり愛情を注いであげてください。,TOLONG CURAHKAN BANYAK KASIH SAYANG KEPADA ANAK.,彼女は家族からの愛情を感じています。,DIA MERASAKAN KASIH SAYANG DARI KELUARGANYA.
1,アイスキャンディー,アイスキャンディー,ES LILIN,暑い日にアイスキャンディーを食べるとおいしいです。,MAKAN ES LILIN PADA HARI YANG PANAS TERASA ENAK.,子供たちはアイスキャンディーを食べながら歩いていました。,ANAK-ANAK BERJALAN SAMBIL MAKAN ES LILIN.
1,相手,あいて,"LAWAN BICARA, REKAN",相手の話をよく聞くことが大切です。,PENTING UNTUK MENDENGARKAN UCAPAN LAWAN BICARA DENGAN BAIK.,仕事では相手の立場を考える必要があります。,"DALAM PEKERJAAN, KITA PERLU MEMPERTIMBANGKAN POSISI ORANG LAIN."
1,合図,あいず,TANDA,信号が青になったら、手を上げて合図してください。,"KETIKA LAMPU LALU LINTAS MENJADI HIJAU, TOLONG ANGKAT TANGAN SEBAGAI TANDA.",先生の合図でみんなが一斉に走り始めました。,SEMUA ORANG MULAI BERLARI BERSAMAAN ATAS ISYARAT GURU.
1,赤字,あかじ,KERUGIAN,今年の会社は赤字になりました。,TAHUN INI PERUSAHAAN MENGALAMI KERUGIAN.,赤字を減らすために経費を見直しました。,KAMI MENINJAU KEMBALI PENGELUARAN UNTUK MENGURANGI KERUGIAN.
1,明け方,あけがた,SUBUH,明け方に雨が降り始めました。,HUJAN MULAI TURUN MENJELANG SUBUH.,明け方の空が少しずつ明るくなってきました。,LANGIT MENJELANG SUBUH PERLAHAN-LAHAN MENJADI TERANG.
1,秋祭り,あきまつり,FESTIVAL MUSIM GUGUR,来週、町で秋祭りがあります。,MINGGU DEPAN ADA FESTIVAL MUSIM GUGUR DI KOTA INI.,家族と一緒に秋祭りへ行きました。,SAYA PERGI KE FESTIVAL MUSIM GUGUR BERSAMA KELUARGA.
1,秋雨,あきさめ,HUJAN MUSIM GUGUR,秋雨が続いて、毎日少し寒いです。,HUJAN MUSIM GUGUR TERUS BERLANJUT DAN SETIAP HARI AGAK DINGIN.,秋雨の季節は傘を持って出かけたほうがいいです。,"PADA MUSIM HUJAN MUSIM GUGUR, SEBAIKNYA MEMBAWA PAYUNG SAAT KELUAR."
1,天の川,あまのがわ,"GALAKSI, BIMASAKTI",夏の夜に天の川がきれいに見えました。,"PADA MALAM MUSIM PANAS, BIMASAKTI TERLIHAT DENGAN INDAH.",子供のころ、天の川を一度見てみたいと思っていました。,"WAKTU KECIL, SAYA INGIN MELIHAT BIMASAKTI SETIDAKNYA SEKALI."
1,案,あん,USULAN,新しい計画について、いい案を考えました。,SAYA MEMIKIRKAN USUL YANG BAGUS UNTUK RENCANA BARU.,みんなで話し合って、別の案を出しました。,KAMI BERDISKUSI BERSAMA DAN MENGAJUKAN USUL LAIN.
1,アンコール,アンコール,ENCORE,観客は歌手にアンコールを求めました。,PARA PENONTON MEMINTA PENYANYI UNTUK TAMPIL KEMBALI.,人気の曲だったので、最後にアンコールがありました。,"KARENA LAGUNYA POPULER, ADA PENAMPILAN ULANG DI AKHIR ACARA."
1,案内,あんない,PANDUAN,駅まで案内してもらえませんか。,BISAKAH ANDA MEMANDU SAYA SAMPAI KE STASIUN?,受付の人がホテルの中を案内してくれました。,PETUGAS RESEPSIONIS MEMANDU SAYA DI DALAM HOTEL.
1,嵐,あらし,BADAI,昨日の夜、大きな嵐が来ました。,TADI MALAM BADAI BESAR DATANG.,嵐が近づいているので、外に出ないでください。,"KARENA BADAI SEDANG MENDEKAT, JANGAN KELUAR."
1,アリバイ,アリバイ,ALIBI,彼には事件が起きた時間のアリバイがあります。,DIA MEMILIKI ALIBI PADA WAKTU KEJADIAN ITU TERJADI.,警察は彼のアリバイを確認しました。,POLISI MEMERIKSA ALIBINYA.
1,足跡,あしあと,JEJAK KAKI,雪の上に犬の足跡が残っています。,ADA JEJAK KAKI ANJING DI ATAS SALJU.,砂浜にたくさんの足跡がありました。,ADA BANYAK JEJAK KAKI DI PANTAI BERPASIR.
1,圧縮,あっしゅく,KOMPRESI,写真を圧縮してからメールで送りました。,SAYA MENGOMPRES FOTO SEBELUM MENGIRIMNYA MELALUI EMAIL.,このファイルは圧縮すると小さくなります。,FILE INI MENJADI LEBIH KECIL JIKA DIKOMPRES.
1,アステリスク,アステリスク,TANDA ASTERIK (*),重要な項目にはアステリスクが付いています。,ADA TANDA ASTERIK PADA BAGIAN YANG PENTING.,アステリスクの付いた項目は必ず入力してください。,BAGIAN YANG DITANDAI ASTERIK HARUS DIISI.
1,跡,あと,BEKAS,事故の跡が道路に残っています。,BEKAS KECELAKAAN MASIH TERSISA DI JALAN.,壁には火事の跡が残っていました。,BEKAS KEBAKARAN MASIH TERSISA DI DINDING.
1,圧力,あつりょく,"TEKANAN, DORONGAN",水の圧力が強すぎます。,TEKANAN AIR TERLALU KUAT.,彼は会社から強い圧力を受けていました。,DIA MENDAPAT TEKANAN KUAT DARI PERUSAHAAN.
1,泡,あわ,"BUSA, BUIH, GELEMBUNG",石けんを使うとたくさん泡が出ます。,"JIKA MENGGUNAKAN SABUN, AKAN MUNCUL BANYAK BUSA.",ビールの泡がグラスからこぼれました。,BUSA BIR KELUAR DARI GELAS.
2,痣,あざ,BEKAS LUKA / MEMAR,転んで腕に痣ができました。,SAYA JATUH DAN MENGALAMI MEMAR DI LENGAN.,足に大きな痣があるので、病院へ行きました。,"KARENA ADA MEMAR BESAR DI KAKI, SAYA PERGI KE RUMAH SAKIT."
2,バーゲン,バーゲン,POTONGAN HARGA,デパートでバーゲンが始まりました。,DISKON BESAR DI DEPARTMENT STORE TELAH DIMULAI.,バーゲンだったので、安く服を買えました。,"KARENA SEDANG DISKON, SAYA BISA MEMBELI PAKAIAN DENGAN MURAH."
2,倍増,ばいぞう,PENGGANDAAN,去年と比べて売り上げが倍増しました。,"DIBANDINGKAN TAHUN LALU, PENJUALAN MENINGKAT MENJADI DUA KALI LIPAT.",この会社では外国人の利用者が倍増しています。,"DI PERUSAHAAN INI, JUMLAH PENGGUNA ASING MENINGKAT DUA KALI LIPAT."
2,梅雨前線,ばいうぜんせん,FRONT HUJAN MUSIM HUJAN,梅雨前線の影響で雨が続いています。,HUJAN TERUS BERLANJUT KARENA PENGARUH FRONT HUJAN.,梅雨前線が日本付近に停滞しています。,FRONT HUJAN MUSIM HUJAN SEDANG MENETAP DI SEKITAR JEPANG.
2,梅雨、梅雨,ばいう、つゆ,MUSIM HUJAN,日本では六月ごろに梅雨が始まります。,"DI JEPANG, MUSIM HUJAN DIMULAI SEKITAR BULAN JUNI.",梅雨の時期は雨の日が多いです。,"PADA MUSIM HUJAN, ADA BANYAK HARI HUJAN."
2,爆発,ばくはつ,LEDAKAN,工場で大きな爆発がありました。,TERJADI LEDAKAN BESAR DI PABRIK.,ガスが爆発して、建物が壊れました。,GAS MELEDAK DAN MERUSAK BANGUNAN.
2,爆発事故,ばくはつじこ,KECELAKAAN LEDAKAN,工場で爆発事故が起きました。,TERJADI KECELAKAAN LEDAKAN DI PABRIK.,爆発事故の原因を調べています。,PENYEBAB KECELAKAAN LEDAKAN SEDANG DISELIDIKI.
